original_id,mapped_id,name,text
4,0,Set,"In mathematics, a set is nothing more than a collection of objects. Similarly, in databases, records within a table can be treated as objects in a set - i.e. the table becomes a set of records. The SET operator allows the tables of a database to be treated as objects in a set when performing a query."
6,1,Cartesian product,The Cartesian product operation takes an ordered list of sets and returns a set of tuples.
7,2,Cardinality,the cardinality of a set is a measure of the number of elements of the set.
8,3,Equality,Set equality is the term that is used to indicate that two sets are equal.
9,4,union,The union of two sets is a set containing all elements that are in A or in B (possibly both).
10,5,Intersection,The intersection of two given sets is the set that contains all the elements that are common to both sets.
11,6,Difference,The difference of two sets A and B is defined as the lists of all the elements that are in set A but that are not present in set B.
12,7,Subset,"If A and B are two sets, and every element of set A is also an element of set B, then A is called a subset of B"
13,8,Tuple,A tuple is an ordered list of n elements.
14,9,Relational data model,The relational model represents the database as a collection of relations.
15,10,Domain,Domains are the sets of all possible values for attributes.
16,11,Attribute,"Attributes are used to describe the properties of information. In the relational model, they usually refer to atomic data."
17,12,Relation,A relation is a subset of a Cartesian product of sets.
18,13,Superkey,A superkey SK of R is a subset of attributes of R.
19,14,Foreign key,A foreign key is a column or group of columns in a relational database table that provides a link between data in two tables.
20,15,Schema,A relation schema has a relation name and a list of attributes.
22,16,DDL,"A data definition language (DDL) is a computer language used to create and modify the structure of database objects in a database. These database objects include views, schemas, tables, indexes, etc."
23,17,Data type,Data Types define the type of value that can be stored in a table column.
24,18,CREATE TABLE,"The CREATE TABLE statement is used to create a new relation schema by specifying its name, its attributes and, optionally, its constraints."
25,19,DROP TABLE,The DROP TABLE statement is used to remove an existing relation schema from a database schema.
26,20,ALTER TABLE,"ALTER TABLE is used to add, delete/drop or modify columns in the existing table. It is also used to add and drop various constraints on the existing table."
27,21,Candidate key,A candidate key is a combination of attributes that can be uniquely used to identify a database record without referring to any other data.
28,22,DML,"A data manipulation language (DML) is a computer programming language used for adding (inserting), deleting, and modifying (updating) data in a database. A DML is often a sublanguage of a broader database language such as SQL, with the DML comprising some of the operators in the language."
29,23,SELECT,SQL provides the SELECT statement for retrieving data from a database
30,24,INSERT,The INSERT statement is used to add tuples into a relation.
31,25,DELETE,The DELETE statement is used to remove tuples from a relation.
32,26,Query,A query is a request for data or information from a database table or combination of tables.
33,27,Join,"When we want to retrieve data from more than one relation, we often need to use join operations."
34,28,Primary Key,A primary key is a special relational database table column (or combination of columns) designated to uniquely identify all table records.
35,29,SELECT DISTINCT,"The SELECT DISTINCT statement is used to return only distinct (different) values. Inside a table, a column often contains many duplicate values; and sometimes you only want to list the different (distinct) values."
36,30,GROUP BY,GROUP BY attribute list groups tuples for each value combination in the attribute list.
37,31,COUNT,COUNT returns the total number of argument values
38,32,MIN,MIN returns the minimum value of the arguments
39,33,HAVING,We can use HAVING condition to add the condition on the groups.
40,34,EXCEPT,"The SQL EXCEPT clause/operator is used to combine two SELECT statements and returns rows from the first SELECT statement that are not returned by the second SELECT statement. This means EXCEPT returns only rows, which are not available in the second SELECT statement"
41,35,Inner Join,Inner Join is tuples are included in the result only if there is at least one matching in both relations.
42,36,Natural Join,"A natural join retains all the data of the two tables for only the matched rows, without duplication."
43,37,Left Join,A left join retains all rows of the left table regardless of whether there is a row that matches on the right table.
44,38,EXISTS,"The EXISTS condition in SQL is used to check whether the result of a correlated nested query is empty (contains no tuples) or not. The result of EXISTS is a boolean value True or False. It can be used in a SELECT, UPDATE, INSERT or DELETE statement."
45,39,Entity-Relationship Model,"An Entity–relationship model (ER model) describes the structure of a database with the help of a diagram, which is known as Entity Relationship Diagram (ER Diagram). An ER model is a design or blueprint of a database that can later be implemented as a database."
46,40,Data structure,"The data structure is a data organization, management, and storage format that enables efficient access and modification. More precisely, a data structure is a collection of data values, the relationships among them, and the functions or operations that can be applied to the data."
48,41,Entity,"An entity is a real-world thing that can be distinctly identified as a person, place, or concept. It is an object which is distinguishable from others."
49,42,Total,"It specifies that each entity present in the entity set must mandatorily participate in at least one relationship instance of that relationship set,for this reason, it is also called as mandatory participation"
50,43,Data integrity,"Data integrity refers to the accuracy and consistency of data stored in a database or a data warehouse. Data with “integrity” is said to have a complete structure, i.e. all characteristics defining the data must be correct."
51,44,weak entity,"A weak entity type is an entity type that does not have sufficient attributes
to form a primary key."
52,45,Key attributes,A key attribute is the unique characteristic of the entity.
54,46,Subclass,A subclass is a class derived from the superclass. It inherits the properties of the superclass and also contains attributes of its own.
55,47,Superclass,This type of relationship between subclass and superclass is often described as an ISA relationship type.
57,48,Cardinality ratios,Specifies the maximum number of relationships that an entity can participate in.
58,49,Participation constraints,Specifies whether the existence of any entity depends on its being related to another entity via the relationship type.
59,50,Many-To-Many,a many-to-many relationship where many occurrences in an entity relate to many occurrences in another entity.
60,51,One-To-Many,A one-to-many relationship is where one occurrence in an entity relates to many occurrences in another entity.
63,52,partial,It specifies that each entity in the entity set may or may not participate in the relationship instance in that relationship set.
64,53,Functional dependencies,Functional Dependency (FD) is a constraint that determines the relation of one attribute to another attribute in a Database Management System (DBMS).
65,54,Trivial,A FD is trivial if it can always be satisfied
66,55,Closure,The set of all those attributes which can be functionally determined from an attribute set is called as the closure of that attribute set.
67,56,Implied,"To design a good database, we need to consider all possible FDs."
68,57,Equivalent,"Two or more than two sets of functional dependencies are called equivalence if the right-hand side of one set of functional dependency can be determined using the second FD set, similarly, the right-hand side of the second FD set can be determined using the first FD set."
69,58,Minimal Cover,A minimal cover of a set of FDs F is a minimal set of functional dependencies that is equivalent to F.
70,59,Prime Attribute,A prime attribute is an attribute occurring in a candidate key
71,60,Normalisation,A common approach starts with a universal relation and applies decomposition to create new relations that satisfy certain normal forms (i.e. normalization).
72,61,Lossless Join,To disallow the possibility of generating spurious tuples when a NATURAL JOIN operation is applied to the relations after decomposition.
73,62,Dependency preservation,To ensure that each functional dependency can be inferred from functional dependencies after decomposition.
74,63,Boyce-Codd normal form (BCNF),Boyce-Codd Normal Form (BCNF) is one of the forms of database normalization. A database table is in BCNF if and only if there are no non-trivial functional dependencies of attributes on anything other than a superset of a candidate key.
75,64,Third normal form (3NF),The third normal form — or 3NF — is part of a set of concepts for database normalization that also includes first normal form (1NF) and second normal form (2NF).
76,65,Relational Algebra,Relational algebra (RA) provides an intermediate step for evaluating SQL.
77,66,Projection,"choose certain attributes (i.e., columns)."
78,67,Selection,Select operation chooses the subset of tuples from the relation that satisfies the given condition mentioned in the syntax of selection. The selection operation is also known as horizontal partitioning since it partitions the table or relation horizontally.
79,68,Renaming,"Renaming is used to rename either the relation name or the attribute names, or both."
80,69,Database Security,Database security refers to the collective measures used to protect and secure a database or database management software from illegitimate use and malicious cyber threats and attacks.
81,70,Access Control,"Access control is done by creating user accounts and to control login process by the DBMS. So, that database access of sensitive data is possible only to those people (database users) who are allowed to access such data and to restrict access to unauthorized persons."
82,71,Discretionary access control (DAC),Based on the concept of access privileges for giving users such privileges. SQL support DAC; most commercial DBMSs also support DAC.
83,72,GRANT,GRANT gives privileges to users.
84,73,Mandatory Access Control (MAC),Restrict access to objects based on the sensitivity of the information contained in the objects and the formal authorization of subjects to access information of such sensitivity.
85,74,SQL Injection,SQL injection attacks from internal and external users
86,75,REVOKE,REVOKE takes away privileges from users.
87,76,Specifying Privileges - Views,Views provide an important mechanism for discretionary authorization.
88,77,Role-Based Access Control (RBAC),"Access rights are grouped by roles, and the use of resources is restricted to individuals assigned to specific roles."
89,78,Authentication,Authentication is the process of confirming that a user logs in only in accordance with the rights to perform the activities he is authorized to perform. User authentication can be performed at the operating system level or database level itself.
